CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,BN01,BN01s,BN02,BN02s,BN03,BN03s,DB01,DB01s,IV01_01,SC01,SC02,SC03,SC04,SC05,SC06_01,SD01,SD02_01,SD07,SD07_04,SD11,SD11_10,SD13,SD14,SD14_08,SD16,SD18_01,TP01,TP01s,TP02,TP02s,TP03,TP03s,TP04,TP04s,TP05,TP05s,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME_SUM,MAILSENT,LASTDATA,STATUS,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI
17.0,,,base,interview,2025-11-28 11:40:09,-2.0,t,-2.0,t,-2.0,t,-2.0,ok,2.0,2.0,1.0,4.0,1.0,1.0,no,2.0,24.0,1.0,,1.0,,1.0,4.0,,2.0,no,-2.0,t,-2.0,t,-2.0,t,-2.0,t,-2.0,t,18.0,2.0,5.0,4.0,14.0,9.0,6.0,58.0,,2025-11-28 11:41:07,complete,1.0,0.0,7.0,7.0,0.0,0.0,2.41
22.0,,,base,interview,2025-11-29 07:31:03,1.0,,1.0,,1.0,,-9.0,,2.0,2.0,2.0,4.0,3.0,3.0, Hjk,1.0,20.0,1.0,,9.0,,4.0,6.0,,6.0,Nope,-2.0,1.0,-2.0,1.0,-2.0,1.0,-2.0,1.0,-2.0,1.0,26.0,32.0,112.0,121.0,37.0,71.0,4.0,403.0,,2025-11-29 07:37:46,complete,1.0,0.0,7.0,7.0,4.0,0.0,1.53
32.0,,,base,interview,2025-11-30 08:07:07,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,33.0,72.0,,,,,124.0,,2025-11-30 08:09:11,,0.0,0.0,3.0,3.0,0.0,0.0,1.86
33.0,,,base,interview,2025-11-30 08:09:15,1.0,,1.0,,1.0,,,,2.0,2.0,1.0,4.0,1.0,1.0,The danger of mass screening approaches if stats are not considered. ,2.0,56.0,4.0,United Kingdom,10.0,PhD,1.0,8.0,Professor,11.0,"Really nice, Vera! Well done {EM_SMILING_FACE_WITH_SMILING_EYES}",-2.0,"Out of 105 that test positive, 5 have breast cancer.",-2.0,"Out of 1007, 8 contain CSAM.",-2.0,"Out of 359 who test positive, 9 are true positives.",-2.0,"Out of 1070 flagged, 80 are correct.",-2.0,"Out of 5150 flagged posts, 160 contain hate speech.",11.0,68.0,386.0,252.0,173.0,97.0,,987.0,,2025-11-30 08:25:42,,0.0,0.0,6.0,6.0,0.0,0.0,0.7
34.0,,,base,interview,2025-11-30 08:34:38,-2.0,-3.1415*i,-2.0,Was the man drawn with a crayon or a pencil? Did the drawing actually look like a man?,-2.0,About 131,,,2.0,2.0,2.0,3.0,2.0,3.0,Is it something to do with Star Wars?,2.0,99.0,4.0,My home country ,10.0,38 degrees Celsius,3.0,8.0,I act as a randomly drawn man,2.0,No,-2.0,Out of a lot only a few are positive,-2.0,Out of interest. 50 out of 200. I saw the answer on the web and copied it.,-2.0,Out of my mind. 30 out of 100. You gave the answer as the example,-2.0,I think AI will destroy our planet.,-2.0,Social media is bad.,5.0,4.0,276.0,199.0,92.0,123.0,,612.0,,2025-11-30 08:46:17,,0.0,0.0,6.0,6.0,0.0,0.0,1.35
36.0,,,base,interview,2025-11-30 13:45:01,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,4.0,1.0,1.0,How well people understand probabilities.,1.0,48.0,4.0,UK,8.0,,1.0,4.0,,12.0,No problems with any of the questions.,-2.0,5 out of 105,-2.0,8 out of 1007,-2.0,9 out of 359,-2.0,80 out of 1070,-2.0,160 out of 5150,25.0,33.0,123.0,213.0,91.0,32.0,6.0,523.0,,2025-11-30 13:53:44,complete,1.0,0.0,7.0,7.0,4.0,0.0,1.31
47.0,,,base,interview,2025-12-01 13:29:17,-2.0,y,-2.0,y,-2.0,y,-2.0,n,2.0,2.0,1.0,3.0,3.0,3.0,n,1.0,40.0,1.0,,7.0,,1.0,5.0,,4.0,n,-2.0,y,-2.0,y,-2.0,y,-2.0,y,-2.0,y (test vera),3.0,8.0,10.0,4.0,21.0,8.0,7.0,61.0,,2025-12-01 13:30:18,,1.0,0.0,7.0,7.0,0.0,0.0,2.73
48.0,,,base,interview,2025-12-01 13:34:06,-2.0,y,-2.0,y,-2.0,y,-2.0,y,1.0,2.0,2.0,2.0,2.0,3.0,n,1.0,40.0,1.0,,3.0,,5.0,7.0,,2.0,b,-2.0,y (test vera),-2.0,y,-2.0,y,-2.0,y,-2.0,y,3.0,3.0,9.0,3.0,17.0,10.0,4.0,49.0,,2025-12-01 13:34:55,,1.0,0.0,7.0,7.0,0.0,0.0,2.86
49.0,,,base,interview,2025-12-01 13:43:06,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,772.0,,,,,,74.0,,2025-12-01 13:56:04,,0.0,0.0,2.0,2.0,0.0,0.0,0.88
50.0,,,base,interview,2025-12-01 13:43:33,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,10.0,,2025-12-01 13:44:41,,0.0,0.0,1.0,1.0,0.0,0.0,0.15
51.0,,,base,interview,2025-12-01 13:43:56,1.0,,1.0,,1.0,,-9.0,,1.0,2.0,1.0,3.0,1.0,1.0,"No. As I said, I answered all of the 'out of' questions as the same 'problem' in each case, just with different numbers being used.",2.0,55.0,4.0,UK,8.0,,1.0,6.0,,4.0,I read all of the 'out of' questions as fundamentally the same problem being asked in each case.,-2.0,5 out of 105 - All 5 test positive that have it while there are 100 extra false positives.,-2.0,8 out of 1007 - I added the true 8 detections to the 999 false detections to get this result.,-2.0,9 out of 359 - I added the 9 (of the 10) correct detections and added the 350 false positives.,-2.0,80 out of 1070 - I added the 80 correctly flagged essays to the 990 incorrectly flagged essays.,-2.0,160 out of 5150 - I added the 160 correctly flagged posts to the 4990 incorrectly flagged posts.,4.0,48.0,311.0,52.0,72.0,58.0,18.0,563.0,,2025-12-01 13:53:19,,1.0,0.0,7.0,7.0,4.0,0.0,1.34
52.0,,,base,interview,2025-12-01 13:44:08,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2.0,,,,,,7.0,,2025-12-01 13:44:16,,0.0,0.0,2.0,2.0,0.0,0.0,2.5
53.0,,,base,interview,2025-12-01 13:44:28,-2.0,Fgh,-2.0,Yjh,-2.0,Gih,-9.0,,1.0,1.0,1.0,2.0,2.0,2.0,Na,2.0,8.0,3.0,,3.0,,3.0,2.0,,8.0,Na,-2.0,Hahdg,-2.0,Drt,-2.0,1234.0,-2.0,Vjjc,-2.0,Gjhs,23.0,306.0,166.0,92.0,101.0,84.0,74.0,780.0,,2025-12-01 13:58:34,,1.0,0.0,7.0,7.0,4.0,0.0,0.8
