CASE,STARTED,condition,time_min,attn_pass,effort_pass,distraction_pass,excluded,in_full_sample,in_quality_sample,bayes_1,bayes_2,bayes_3,bayes_total,bayes_prop,TP01_correct,TP02_correct,TP03_correct,TP04_correct,TP05_correct,accuracy
322.0,2026-01-04 14:01:00,control,13.483333333333333,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
325.0,2026-01-04 14:37:41,control,15.116666666666667,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
328.0,2026-01-04 15:05:59,control,21.166666666666668,True,True,True,False,True,True,1.0,0.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
329.0,2026-01-04 15:39:30,treatment,22.216666666666665,True,True,False,True,False,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
331.0,2026-01-04 16:22:16,control,12.133333333333333,True,True,True,False,True,False,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
333.0,2026-01-04 16:42:14,control,17.183333333333334,True,True,False,True,False,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0
335.0,2026-01-04 17:42:35,treatment,32.13333333333333,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
338.0,2026-01-04 18:50:19,treatment,24.75,True,True,True,False,True,True,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,0.0,1.0,0.0,1.0,3.0
342.0,2026-01-04 19:54:19,control,8.633333333333333,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
344.0,2026-01-04 20:14:08,treatment,12.7,True,True,True,False,True,False,0.0,0.0,1.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
346.0,2026-01-04 20:32:27,control,11.516666666666667,True,True,True,False,True,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347.0,2026-01-04 20:59:59,control,19.7,True,True,True,False,True,True,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,2.0
350.0,2026-01-04 21:34:42,control,19.7,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
352.0,2026-01-04 22:37:08,control,13.766666666666667,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
353.0,2026-01-04 22:52:40,control,16.95,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
355.0,2026-01-04 23:12:41,treatment,11.9,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
356.0,2026-01-04 23:36:48,treatment,25.45,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
357.0,2026-01-05 00:08:24,treatment,24.216666666666665,True,True,True,False,True,True,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
359.0,2026-01-05 00:38:33,treatment,18.65,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
360.0,2026-01-05 01:30:36,treatment,20.6,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
367.0,2026-01-05 03:19:22,treatment,16.95,True,False,True,True,False,False,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0
368.0,2026-01-05 03:45:08,control,18.633333333333333,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
372.0,2026-01-05 04:17:58,control,22.266666666666666,True,True,True,False,True,True,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
373.0,2026-01-05 04:47:29,treatment,16.366666666666667,True,True,True,False,True,True,1.0,0.0,1.0,2.0,0.6666666666666666,0.0,0.0,1.0,0.0,0.0,1.0
378.0,2026-01-05 06:21:27,control,16.483333333333334,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,4.0
381.0,2026-01-05 07:27:56,control,15.666666666666666,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
382.0,2026-01-05 07:44:04,control,20.116666666666667,True,True,True,False,True,True,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
383.0,2026-01-05 08:10:08,treatment,9.416666666666666,True,False,True,True,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384.0,2026-01-05 08:20:44,treatment,10.583333333333334,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0
386.0,2026-01-05 09:45:16,control,12.766666666666667,True,True,True,False,True,False,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,0.0,1.0,4.0
387.0,2026-01-05 10:05:24,treatment,13.433333333333334,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
388.0,2026-01-05 10:22:46,treatment,33.78333333333333,True,True,True,False,True,True,1.0,1.0,0.0,2.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,5.0
389.0,2026-01-05 11:02:26,treatment,14.616666666666667,True,True,True,False,True,False,1.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
390.0,2026-01-05 11:21:25,treatment,25.416666666666668,True,True,True,False,True,True,0.0,1.0,1.0,2.0,0.6666666666666666,1.0,1.0,1.0,0.0,0.0,3.0
391.0,2026-01-05 11:47:13,treatment,16.816666666666666,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
395.0,2026-01-05 12:31:10,control,16.833333333333332,True,True,True,False,True,True,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0
396.0,2026-01-05 12:50:13,treatment,4.3,False,True,True,True,False,False,1.0,0.0,0.0,1.0,0.3333333333333333,1.0,0.0,0.0,0.0,0.0,1.0
